,zone,room,bathroom,floor,t_floors,area,area_unit,area_type,furnishing,facing,power_backup,available_from,contact,rent
4972,South Delhi,3,3,FIRST FLOOR,4TH FLOOR,1800.0,Sq.Ft.,Built-up Area,Furnished,North East,Available,Immediately,Contact Agent,₹ 1.2 L
4973,South Delhi,1.5,2,4,4,650.0,Sq.Ft.,Built-up Area,Furnished,North East,Available,Immediately,Contact Agent,"₹ 26,000"
4974,South Delhi,1,,,,401.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 16,000"
4975,South Delhi,1,1,3,3,450.0,Sq.Ft.,Built-up Area,Unfurnished,East,No Back-up,Immediately,Contact Agent,"₹ 25,000"
4976,South Delhi,3,3,2nd Floor with out lift,3 Floors in building,1700.0,Sq.Ft.,Built-up Area,Furnished,North East,Available,Immediately,Contact Agent,"₹ 76,000"
4977,South Delhi,1 Rk,1,4,4,450.0,Sq.Ft.,Built-up Area,Furnished,North,No Back-up,Immediately,Contact Agent,"₹ 17,000"
4978,,4,,,,2000.0,Sq.Ft.,Carpet Area,Furnished,,,Immediately,Contact Agent,"₹ 45,000"
4979,South Delhi,3,2,,,1450.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 31,000"
4980,East Delhi,2,2,1,3,1050.0,Sq.Ft.,Built-up Area,Semi-Furnished,North West,No Back-up,Immediately,Contact Agent,"₹ 29,000"
4981,South Delhi,3,3,,,1825.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 56,589"
4982,East Delhi,3,3,,,2000.0,Sq.Ft.,Built-up Area,Semi-Furnished,,Available,Immediately,Contact Agent,"₹ 50,000"
4983,South Delhi,2,2,2,4,980.0,Sq.Ft.,Built-up Area,Furnished,North East,,Immediately,Contact Agent,"₹ 37,000"
4984,Dwarka,1,,,,400.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 19,000"
4985,,2,,,,800.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 18,000"
4986,South Delhi,1,,,,633.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 13,400"
4987,South Delhi,1,1,3rd,3,400.0,Sq.Ft.,Built-up Area,Unfurnished,South East,No Back-up,Immediately,Contact Agent,"₹ 14,101"
4988,Dwarka,2,2,,,1245.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 32,550"
4989,Dwarka,3,3,,,1945.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 47,750"
4990,Dwarka,3,2,,,1782.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 37,800"
4991,Dwarka,2,2,,,1200.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 32,000"
4992,Dwarka,3,2,,,1945.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 44,500"
4993,Dwarka,3,2,,,1724.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 46,500"
4994,Dwarka,3,2,,,1855.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 51,000"
4995,Dwarka,3,3,,,1545.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 46,000"
4996,Dwarka,3,3,,,1974.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 51,800"
4997,Dwarka,4,3,,,2000.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
4998,Dwarka,3,3,4,,1567.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 46,500"
4999,Dwarka,3,2,,,1635.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 45,000"
5000,Dwarka,2,2,,,1285.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 33,800"
5001,Dwarka,3,3,,,1986.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
5002,Dwarka,3,2,,,1847.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 40,800"
5003,Dwarka,3,3,,,1986.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
5004,Dwarka,3,3,,,1800.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 42,000"
5005,,3,2,,,1615.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
5006,Dwarka,3,2,,,1685.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 46,000"
5007,Dwarka,4,4,,,2758.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 67,550"
5008,Dwarka,3,2,,,1757.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 48,950"
5009,Dwarka,4,3,,,1900.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
5010,Dwarka,3,3,,,1936.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 50,000"
5011,Dwarka,3,2,,,1793.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 43,800"
5012,Dwarka,4,4,,,2534.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 65,750"
5013,Dwarka,4,3,,,2624.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 53,600"
5014,Dwarka,3,2,,,1857.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 45,800"
5015,South Delhi,3,2,,,1758.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 42,550"
5016,Dwarka,3,2,,,1900.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 43,800"
5017,Dwarka,2,2,,,1369.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 35,500"
5018,Dwarka,3,3,,,1700.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 55,000"
5019,Dwarka,3,3,,,1800.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
5020,Dwarka,3,2,,,1737.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 46,800"
