,zone,room,bathroom,floor,t_floors,area,area_unit,area_type,furnishing,facing,power_backup,available_from,contact,rent
196,West Delhi,1 Rk,1,4,14,408.0,Sq.Ft.,Built-up Area,Furnished,East,Available,Immediately,Contact Agent,"₹ 22,500"
197,South Delhi,4,3,ground floor,4,2000.0,Sq.Ft.,Built-up Area,Furnished,North East,Available,Immediately,Contact Agent,₹ 1.2 L
198,South Delhi,2,1,Ground Floor,4 Floors in building,900.0,Sq.Ft.,Built-up Area,Unfurnished,East,Available,Immediately,Contact Agent,"₹ 38,000"
199,East Delhi,2,1,1,3,850.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,No Back-up,Immediately,Contact Agent,"₹ 25,000"
200,Dwarka,3,2,4,10,1300.0,Sq.Ft.,Saleable Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 60,000"
201,East Delhi,2,2,pocket no-j&k,,100.0,Sq.Yd.,Built-up Area,Furnished,East,,Immediately,Contact Agent,"₹ 23,000"
202,Dwarka,Studio,1,1,4,450.0,Sq.Ft.,Saleable Area,Furnished,East,,,Contact Agent,"₹ 11,001"
203,South Delhi,1,2,1st,4,450.0,Sq.Ft.,Built-up Area,Furnished,South East,No Back-up,Immediately,Contact Agent,"₹ 16,500"
204,South Delhi,3,3,2,3,2500.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,No Back-up,Immediately,Contact Agent,"₹ 45,000"
205,South Delhi,2,2,,,125.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 34,000"
206,Dwarka,3,3,4,6,1200.0,Sq.Ft.,Built-up Area,Furnished,East,Available,Immediately,Contact Agent,"₹ 60,000"
207,South Delhi,1,1,second,three,900.0,Sq.Ft.,Built-up Area,Semi-Furnished,North West,No Back-up,Immediately,Contact Agent,"₹ 60,000"
208,West Delhi,1,1,,,950.0,Sq.Ft.,Built-up Area,Furnished,,Available,Immediately,Contact Agent,"₹ 24,000"
209,East Delhi,3,2,3rd floor,3rd floor,1250.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 27,000"
210,East Delhi,3,3,2,7,1600.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 50,000"
211,South Delhi,3,3,,,1650.0,Sq.Ft.,Built-up Area,Unfurnished,,No Back-up,Immediately,Contact Agent,"₹ 35,000"
212,South Delhi,3,3,SECOND FLOOR,4TH FLOOR,2200.0,Sq.Ft.,Built-up Area,Furnished,East,,Immediately,Contact Agent,₹ 1 L
213,South Delhi,2,2,1,4,700.0,Sq.Ft.,Built-up Area,Unfurnished,North,No Back-up,Immediately,Contact Agent,"₹ 30,000"
214,Dwarka,4,3,8,10,1450.0,Sq.Ft.,Carpet Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 52,000"
215,South Delhi,3,3,FIRST FLOOR,4TH FLOOR,2000.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,₹ 1.1 L
216,Dwarka,2,2,,,1200.0,Sq.Ft.,Built-up Area,Semi-Furnished,Select View,Available,Immediately,Contact Agent,"₹ 30,000"
217,Dwarka,3,3,1,13,150.0,Sq.Yd.,Built-up Area,Unfurnished,South,Available,,Contact Agent,"₹ 41,000"
218,South Delhi,2,2,4,1,1000.0,Sq.Ft.,Built-up Area,Furnished,North East,Available,Immediately,Contact Agent,"₹ 35,000"
219,South Delhi,1,1,first floor,5,450.0,Sq.Ft.,Built-up Area,Furnished,North,No Back-up,,Contact Agent,"₹ 20,000"
220,North Delhi,2.5,2,3,8,1500.0,Sq.Ft.,Built-up Area,Furnished,East,Available,Immediately,Contact Agent,"₹ 45,000"
221,Dwarka,3,3,4,13,2100.0,Sq.Ft.,Built-up Area,Unfurnished,South,Available,Immediately,Contact Agent,"₹ 53,000"
222,South Delhi,3,1,,,1220.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 51,550"
223,South Delhi,2,2,,,1285.0,Sq.Ft.,Built-up Area,Semi-Furnished,Select View,Available,,Contact Agent,"₹ 89,000"
224,Central Delhi,2,2,2,,800.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 40,000"
225,South Delhi,4,4,g.f,3,2200.0,Sq.Ft.,Built-up Area,Unfurnished,North East,No Back-up,Immediately,Contact Agent,₹ 1.3 L
226,South Delhi,3,2,5,6,1200.0,Sq.Ft.,Built-up Area,Semi-Furnished,West,No Back-up,Immediately,Contact Agent,"₹ 30,000"
227,West Delhi,3,2,2,,1150.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 36,000"
228,South Delhi,1.5,2,Ground,4,700.0,Sq.Ft.,Built-up Area,Furnished,West,,,Contact Agent,"₹ 25,000"
229,Dwarka,1.5,1,3,14,500.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 16,000"
230,South Delhi,3,2,,,1800.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 45,900"
231,South Delhi,3,3,,,1228.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 31,500"
232,West Delhi,Studio,1,5,14,350.0,Sq.Ft.,Built-up Area,Furnished,Select View,Available,Immediately,Contact Agent,"₹ 25,500"
233,East Delhi,3.5,2,1,4,1800.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 42,000"
234,Dwarka,4,3,,,2100.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 50,000"
235,,3,3,1,3,1250.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 41,000"
236,North Delhi,3,2,4,4,1020.0,Sq.Ft.,Built-up Area,Furnished,East,,Immediately,Contact Owner,"₹ 40,000"
237,South Delhi,4,4,ground floor,4,1600.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 90,000"
238,South Delhi,3,3,3,3,1500.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 60,000"
239,Dwarka,4,3,ground floor,5,2000.0,Sq.Ft.,Carpet Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 55,000"
240,South Delhi,2,1,1,5,700.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 25,000"
241,East Delhi,2,2,3,7,1200.0,Sq.Ft.,Built-up Area,Furnished,North East,Available,Immediately,Contact Agent,"₹ 37,000"
242,Dwarka,3,2,2,9,1600.0,Sq.Ft.,Built-up Area,Semi-Furnished,West,Available,Immediately,Contact Agent,"₹ 40,000"
243,South Delhi,1,2,1,4,450.0,Sq.Ft.,Built-up Area,Semi-Furnished,North West,No Back-up,Immediately,Contact Agent,"₹ 25,000"
244,South Delhi,3,3,,,3000.0,Sq.Ft.,Built-up Area,Furnished,,,,Contact Agent,₹ 1.5 L
245,West Delhi,3,3,9,26,1600.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,,Immediately,Contact Agent,"₹ 50,000"
246,East Delhi,3,2,3,3,1300.0,Sq.Ft.,Carpet Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 32,000"
247,South Delhi,2,2,2,3,1250.0,Sq.Ft.,Built-up Area,Furnished,South,No Back-up,Immediately,Contact Agent,"₹ 80,000"
248,East Delhi,2,1,1,3,550.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 12,000"
249,Dwarka,1,1,2,20,350.0,Sq.Ft.,Built-up Area,Furnished,South,Available,Immediately,Contact Agent,"₹ 17,000"
250,West Delhi,2,2,2,4,100.0,Sq.Yd.,Built-up Area,Semi-Furnished,West,No Back-up,Immediately,Contact Agent,"₹ 25,000"
251,East Delhi,1.5,1,3,3,850.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 18,000"
252,South Delhi,2,2,1,4,900.0,Sq.Ft.,Built-up Area,Unfurnished,,No Back-up,Immediately,Contact Agent,"₹ 45,000"
253,South Delhi,3,2,3,4,1450.0,Sq.Ft.,Built-up Area,Furnished,North East,No Back-up,Immediately,Contact Agent,"₹ 55,000"
254,South Delhi,1,2,ground floor,3,850.0,Sq.Ft.,Built-up Area,Furnished,North,,Immediately,Contact Agent,"₹ 35,000"
255,South Delhi,2,2,2,5,950.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 22,000"
256,South Delhi,2,2,2,,700.0,Sq.Ft.,Built-up Area,Semi-Furnished,,No Back-up,Immediately,Contact Agent,"₹ 19,500"
257,West Delhi,1 Rk,1,4,14,411.0,Sq.Ft.,Built-up Area,Furnished,East,Available,Immediately,Contact Agent,"₹ 22,500"
258,South Delhi,3,3,2nd Floor,4 Floors in building,2000.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 73,000"
259,East Delhi,1 Rk,1,3rd floor,3,300.0,Sq.Ft.,Built-up Area,Furnished,North East,No Back-up,Immediately,Contact Agent,"₹ 11,000"
260,Dwarka,Studio,1,2,4,450.0,Sq.Ft.,Saleable Area,Furnished,Select View,,,Contact Agent,"₹ 10,991"
261,South Delhi,1,1,,4,400.0,Sq.Ft.,Built-up Area,Unfurnished,South East,No Back-up,Immediately,Contact Agent,"₹ 13,000"
262,South Delhi,2,2,,,127.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,,Contact Agent,"₹ 40,000"
263,South Delhi,1.5,1,4,4,700.0,Sq.Ft.,Built-up Area,Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 28,000"
264,Dwarka,3,3,1,11,1900.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 65,000"
265,Central Delhi,2,2,2,,650.0,Sq.Ft.,Built-up Area,Furnished,West,,Immediately,Contact Agent,"₹ 35,000"
266,East Delhi,3,2,1,4,1400.0,Sq.Ft.,Built-up Area,Semi-Furnished,,No Back-up,Immediately,Contact Agent,"₹ 40,000"
267,Dwarka,4,3,4,6,1400.0,Sq.Ft.,Built-up Area,Furnished,East,Available,Immediately,Contact Agent,"₹ 70,000"
268,South Delhi,3,3,1,4,1476.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 52,000"
269,South Delhi,2,2,,,1200.0,Sq.Ft.,Built-up Area,Unfurnished,,No Back-up,Immediately,Contact Agent,"₹ 21,000"
270,South Delhi,3,3,SECOND FLOOR,4TH FLOOR,2000.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,₹ 2 L
271,South Delhi,2,2,3rd floor,5th,1000.0,Sq.Ft.,Built-up Area,Furnished,South,Available,Immediately,Contact Agent,"₹ 65,000"
272,South Delhi,2,2,FIRST FLOR,SECOND FLOOR,2000.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,,Immediately,Contact Agent,₹ 2.5 L
273,Dwarka,5,4,10,10,4000.0,Sq.Ft.,Built-up Area,Semi-Furnished,West,Available,Immediately,Contact Agent,₹ 1.2 L
274,South Delhi,2,2,1,4,950.0,Sq.Ft.,Built-up Area,Furnished,South East,Available,Immediately,Contact Agent,"₹ 38,000"
275,Dwarka,3.5,2,,,1800.0,Sq.Ft.,Built-up Area,Semi-Furnished,Select View,Available,,Contact Agent,"₹ 48,000"
276,South Delhi,3,1,,,1580.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 56,890"
277,East Delhi,1,2,1,3,516.0,Sq.Ft.,Built-up Area,Furnished,North West,,Immediately,Contact Agent,"₹ 18,500"
278,South Delhi,4,4,,,300.0,Sq.Ft.,Carpet Area,Semi-Furnished,Select View,Available,Immediately,Contact Agent,₹ 1.7 L
279,East Delhi,2,2,1st &2nd duplex,3rd floor,1100.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,No Back-up,,Contact Agent,"₹ 30,000"
280,,2,2,3,3,1200.0,Sq.Ft.,Built-up Area,Unfurnished,North East,Available,Immediately,Contact Agent,"₹ 28,000"
281,West Delhi,3,3,2,12,1574.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 75,000"
282,South Delhi,4,4,g.f,4,2200.0,Sq.Ft.,Built-up Area,Unfurnished,South East,No Back-up,Immediately,Contact Agent,₹ 1.35 L
283,South Delhi,3,2,,,1800.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 45,500"
284,South Delhi,3,3,,,1225.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 31,700"
285,East Delhi,3,3,4,1,1300.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 38,000"
286,Dwarka,4,4,,,2567.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 66,500"
287,North Delhi,2,2,Ground,7,1350.0,Sq.Ft.,Built-up Area,Furnished,East,,Later,Contact Agent,"₹ 55,000"
288,East Delhi,2,2,,,1100.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 25,000"
289,South Delhi,2,2,4,4,700.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 26,000"
290,South Delhi,3.5,3,2,5,1500.0,Sq.Ft.,Built-up Area,Semi-Furnished,South East,No Back-up,Immediately,Contact Agent,"₹ 62,500"
291,South Delhi,3,3,1st,05,1400.0,Sq.Ft.,Built-up Area,Furnished,South East,No Back-up,Immediately,Contact Agent,"₹ 30,000"
292,South Delhi,2,2,2,5,1000.0,Sq.Ft.,Built-up Area,Furnished,South,Available,Immediately,Contact Agent,"₹ 32,000"
293,West Delhi,3,3,002,004,1350.0,Sq.Ft.,Built-up Area,Semi-Furnished,North,Available,Immediately,Contact Agent,"₹ 38,000"
294,North Delhi,3,2,2 n 3rd floor,4,1500.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,No Back-up,Immediately,Contact Agent,"₹ 40,000"
295,West Delhi,3,3,004,004,1500.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 45,000"
296,West Delhi,2.5,2,002,004,1000.0,Sq.Ft.,Built-up Area,Semi-Furnished,North,Available,Immediately,Contact Agent,"₹ 25,000"
297,South Delhi,1,1,2,5,500.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 18,000"
298,West Delhi,2.5,1,002,004,1000.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 21,500"
299,West Delhi,2,2,002,004,950.0,Sq.Ft.,Built-up Area,Semi-Furnished,North,Available,Immediately,Contact Agent,"₹ 21,500"
300,West Delhi,3,3,002,004,1450.0,Sq.Ft.,Built-up Area,Semi-Furnished,North,Available,Immediately,Contact Agent,"₹ 45,000"
301,South Delhi,4,2,first' Floor,4,2000.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 52,500"
302,West Delhi,3,3,003,004,1450.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 41,000"
303,South Delhi,2,2,First Floor,3rd Floor,1200.0,Sq.Ft.,Built-up Area,Furnished,East,Available,Immediately,Contact Agent,"₹ 50,000"
304,West Delhi,3,3,003,004,1450.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 42,000"
305,West Delhi,3,3,004,004,1500.0,Sq.Ft.,Built-up Area,Semi-Furnished,West,Available,Immediately,Contact Agent,"₹ 33,000"
306,South Delhi,1,1,04,4,600.0,Sq.Ft.,Built-up Area,Furnished,South East,No Back-up,Immediately,Contact Agent,"₹ 12,000"
307,East Delhi,2.5,2,3,3,800.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 32,000"
308,West Delhi,1,1,003,004,600.0,Sq.Ft.,Built-up Area,Semi-Furnished,West,Available,Immediately,Contact Agent,"₹ 16,000"
309,West Delhi,3,2,002,004,1100.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 27,000"
310,Dwarka,3.5,3,2,8,1500.0,Sq.Ft.,Built-up Area,Furnished,East,Available,Immediately,Contact Agent,"₹ 70,000"
311,West Delhi,3,3,003,004,1300.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 42,000"
312,West Delhi,2,2,001,004,950.0,Sq.Ft.,Built-up Area,Semi-Furnished,North,Available,Immediately,Contact Agent,"₹ 22,000"
313,West Delhi,3,2,003,004,1300.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 39,600"
314,West Delhi,2,1,002,004,850.0,Sq.Ft.,Built-up Area,Semi-Furnished,West,Available,Immediately,Contact Agent,"₹ 20,000"
315,West Delhi,1,1,003,004,700.0,Sq.Ft.,Built-up Area,Furnished,East,Available,Immediately,Contact Agent,"₹ 17,500"
316,South Delhi,1.5,2,First Floor,4,1000.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 27,500"
317,South Delhi,1.5,1,2,4,650.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 16,500"
318,West Delhi,2,2,003,004,1000.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 22,500"
319,Dwarka,4,3,4,10,1600.0,Sq.Ft.,Saleable Area,Semi-Furnished,West,Available,Immediately,Contact Agent,"₹ 65,000"
320,Dwarka,3,3,6,13,1900.0,Sq.Ft.,Built-up Area,Semi-Furnished,West,No Back-up,Immediately,Contact Agent,"₹ 55,000"
321,North Delhi,,2,1,3,900.0,Sq.Ft.,Saleable Area,Semi-Furnished,North,No Back-up,Immediately,Contact Agent,"₹ 26,000"
322,South Delhi,3,2,Third,4,1800.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 40,000"
323,South Delhi,3,2,First Floor,3th Floor,1050.0,Sq.Ft.,Built-up Area,Unfurnished,South,Available,Immediately,Contact Agent,"₹ 58,000"
324,West Delhi,2.5,2,003,004,1100.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 25,000"
325,South Delhi,1,1,1,5,550.0,Sq.Ft.,Built-up Area,Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 17,500"
326,South Delhi,2,2,First Floor,4rd Floor,900.0,Sq.Ft.,Built-up Area,Unfurnished,East,Available,Immediately,Contact Agent,"₹ 55,000"
327,West Delhi,3,2,003,004,1200.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 37,500"
328,West Delhi,1 Rk,1,003,004,500.0,Sq.Ft.,Built-up Area,Furnished,East,Available,Immediately,Contact Agent,"₹ 14,500"
329,South Delhi,2,2,Third Floor,4,1450.0,Sq.Ft.,Built-up Area,Semi-Furnished,South East,Available,Immediately,Contact Agent,"₹ 40,000"
330,West Delhi,2,2,004,004,1000.0,Sq.Ft.,Built-up Area,Furnished,West,Available,Immediately,Contact Agent,"₹ 28,000"
331,West Delhi,1,1,003,004,600.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 19,000"
332,East Delhi,2,2,,,1000.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 31,000"
333,West Delhi,2.5,2,002,004,1000.0,Sq.Ft.,Built-up Area,Semi-Furnished,North,Available,Immediately,Contact Agent,"₹ 23,500"
334,East Delhi,3,2,6,7,1200.0,Sq.Ft.,Built-up Area,Semi-Furnished,North,Available,Immediately,Contact Agent,"₹ 35,000"
335,North Delhi,3,3,2,7,1200.0,Sq.Ft.,Built-up Area,Furnished,North East,Available,Immediately,Contact Agent,"₹ 50,000"
336,North Delhi,1.5,1,3,3,550.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 22,500"
337,West Delhi,2,2,003,004,1000.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 22,500"
338,South Delhi,3.5,2,2,4,2000.0,Sq.Ft.,Built-up Area,Semi-Furnished,South East,Available,Immediately,Contact Agent,"₹ 42,500"
339,North Delhi,3,3,6,9,1700.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,,Contact Agent,"₹ 75,000"
340,West Delhi,3,3,003,004,1500.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 45,000"
341,South Delhi,2,2,1,5,1000.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 23,500"
342,North Delhi,3,2,,,900.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 22,000"
343,South Delhi,3,2,2,5,1250.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 43,250"
344,West Delhi,3,3,002,004,1300.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 42,800"
345,West Delhi,1,1,003,004,700.0,Sq.Ft.,Built-up Area,Furnished,West,Available,Immediately,Contact Agent,"₹ 17,500"
346,South Delhi,3,2,First Floor,3rd Floor,1200.0,Sq.Ft.,Built-up Area,Furnished,East,Available,Immediately,Contact Agent,"₹ 60,000"
347,South Delhi,4,5,Ground Floor + Basement,,500.0,Sq.Yd.,Built-up Area,Semi-Furnished,East,No Back-up,Immediately,Contact Agent,₹ 2.6 L
348,West Delhi,3,3,003,004,1600.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 45,000"
349,South Delhi,3,2,3,4,1750.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 38,500"
350,West Delhi,2,2,004,004,1100.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 25,000"
351,West Delhi,2,2,003,004,1000.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 22,000"
352,West Delhi,3,3,004,004,1450.0,Sq.Ft.,Built-up Area,Semi-Furnished,North,Available,Immediately,Contact Agent,"₹ 44,200"
353,West Delhi,2.5,2,002,004,1100.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 25,000"
354,South Delhi,1 Rk,1,Ground Floor,4,300.0,Sq.Ft.,Built-up Area,Furnished,North,Available,Immediately,Contact Agent,"₹ 17,000"
355,South Delhi,2,2,First Floor,3th Floor,1200.0,Sq.Ft.,Built-up Area,Unfurnished,East,Available,Immediately,Contact Agent,"₹ 45,000"
356,South Delhi,3,2,Second Floor Without Lift,3th Floor,1500.0,Sq.Ft.,Built-up Area,Unfurnished,East,Available,Immediately,Contact Agent,"₹ 65,000"
357,East Delhi,2,2,Ground,3rd,1150.0,Sq.Ft.,Built-up Area,Semi-Furnished,West,,Immediately,Contact Agent,"₹ 35,000"
358,South Delhi,3,3,,,400.0,Sq.Ft.,Built-up Area,Furnished,,Available,Immediately,Contact Agent,Price on Request
359,West Delhi,2,2,15,26,1380.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 48,000"
360,East Delhi,2,2,3rd,3rd,850.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 32,000"
361,West Delhi,,4,39,45,2282.0,Sq.Ft.,Saleable Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,₹ 1.3 L
362,North Delhi,1.5,1,ground floor Duplex part,3,550.0,Sq.Ft.,Built-up Area,Semi-Furnished,South East,No Back-up,Immediately,Contact Agent,"₹ 25,000"
363,North Delhi,2,2,3,3,900.0,Sq.Ft.,Saleable Area,Semi-Furnished,North East,No Back-up,Immediately,Contact Agent,"₹ 22,000"
364,West Delhi,1,1,003,004,800.0,Sq.Ft.,Built-up Area,Furnished,North,Available,Immediately,Contact Agent,"₹ 18,000"
365,West Delhi,3,3,004,004,1800.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,Available,Immediately,Contact Agent,"₹ 49,400"
366,Dwarka,3,2,4,10,1900.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 50,000"
367,South Delhi,1,1,Second Floor,,100.0,Sq.Ft.,Built-up Area,Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 45,000"
368,West Delhi,2,2,,,800.0,Sq.Ft.,Built-up Area,Furnished,East,,Immediately,Contact Agent,"₹ 32,000"
369,Dwarka,3,2,4,7,1700.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 38,000"
370,West Delhi,2,2,Second Floor With Lift,3th Floor,1200.0,Sq.Ft.,Built-up Area,Unfurnished,East,Available,Immediately,Contact Agent,"₹ 40,000"
371,East Delhi,2,2,Ground,3rd,1100.0,Sq.Ft.,Built-up Area,Semi-Furnished,North,Available,Immediately,Contact Agent,"₹ 30,000"
372,West Delhi,2,2,003,004,1000.0,Sq.Ft.,Built-up Area,Furnished,West,Available,Immediately,Contact Agent,"₹ 30,000"
373,North Delhi,2,1,2,3,950.0,Sq.Ft.,Built-up Area,Semi-Furnished,,No Back-up,Immediately,Contact Agent,"₹ 21,000"
374,West Delhi,2.5,2,003,003,1200.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 32,000"
375,West Delhi,3,4,2,2,3600.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,₹ 1.3 L
376,West Delhi,3,3,004,004,1450.0,Sq.Ft.,Built-up Area,Semi-Furnished,North,Available,Immediately,Contact Agent,"₹ 42,000"
377,East Delhi,1.5,1,,,415.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,Price on Request
378,West Delhi,2.5,2,002,004,1100.0,Sq.Ft.,Built-up Area,Semi-Furnished,West,Available,Immediately,Contact Agent,"₹ 30,000"
